주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
405-2-000084,유수암리 1843-3,공영,노외,,제주특별자치도 제주시 애월읍 유수암리 1843-3,8,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.439902,126.4029597,,2026-04-16
405-2-000085,유수암리648,공영,노외,,제주특별자치도 제주시 애월읍 유수암리648,20,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4413659,126.4063509,,2026-04-16
405-2-000086,장전리 453-2,공영,노외,,제주특별자치도 제주시 애월읍 장전리 453-2,15,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.450796,126.3884854,,2026-04-16
405-2-000087,하귀1리 118-1,공영,노외,,제주특별자치도 제주시 애월읍 하귀1리 118-1,11,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4859219,126.4144106,,2026-04-16
405-2-000088,하귀1리 118-2,공영,노외,,제주특별자치도 제주시 애월읍 하귀1리 118-2,35,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4859874,126.4146221,,2026-04-16
405-2-000089,하귀1리 123-10,공영,노외,,제주특별자치도 제주시 애월읍 하귀1리 123-10,16,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4862947,126.4159109,,2026-04-16
405-2-000090,하귀1리 130-7,공영,노외,,제주특별자치도 제주시 애월읍 하귀1리 130-7,15,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.484828,126.415065,,2026-04-16
405-2-000091,하귀1리 130-9,공영,노외,,제주특별자치도 제주시 애월읍 하귀1리 130-9,14,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4845392,126.4152431,,2026-04-16
405-2-000092,하귀1리 137-7,공영,노외,,제주특별자치도 제주시 애월읍 하귀1리 137-7,24,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4848204,126.4156624,,2026-04-16
405-2-000093,하귀1리 138-6,공영,노외,,제주특별자치도 제주시 애월읍 하귀1리 138-6,16,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,제주특별자치도 제주시청,,33.4851364,126.4161977,,2026-04-16
